50m Butterfly,25m,44.98,4 Jun 2023,LMR East Championships
50m Breaststroke,25m,48.94,4 Jun 2023,LMR East Championships
200m Backstroke,25m,3:12.07,3 Jun 2023,LMR East Championships
50m Backstroke,25m,41.34,3 Jun 2023,LMR East Championships
50m Freestyle,25m,37.58,3 Jun 2023,LMR East Championships
200m Medley,25m,3:24.49,14 May 2023,Gators LMR Meet
100m Breaststroke,25m,1:47.32,14 May 2023,Gators LMR Meet
100m Backstroke,25m,1:29.65,14 May 2023,Gators LMR Meet
100m Butterfly,25m,1:47.09,13 May 2023,Gators LMR Meet
200m Breaststroke,25m,3:47.58,13 May 2023,Gators LMR Meet
200m Freestyle,25m,3:22.15,13 May 2023,Gators LMR Meet
